locale|uk_UA

SYSTEM_RADAR_DOPPLER|Доплерівський скануючий РАДАР DSR-100

SYSTEM_RADAR_DOPPLER_DESC|Стандартний багатоцільовий радар, що балансує між дальністю, роздільною здатністю та частотою сканування, ця модель пропонує надійне виявлення доплерівського зсуву. Хоча йому бракує передових функцій спеціалізованих радарних систем, він забезпечує надійне рішення для загальної навігації та виявлення загроз.

SYSTEM_RADAR_DOPPLER_SPECS|Виробник: Conlido RVM \nСкануючий промінь: низькочастотні радіохвилі \nТривалість циклу: 500 мс \nКут охоплення: 360 град \nВимірювання: дистанція, відносна швидкість

SYSTEM_RADAR_DOPPLER_MANUAL|Сканує оточення корабля. \nПроникає крізь крижані та кам'яні утворення, відображає їх з низькою точністю. \nВідображає кольором відносну швидкість виявлених об'єктів. \nВиявляє тільки кораблі та металеві руди.



SYSTEM_RADAR_CONE|Спрямований РАДАР BF-220

SYSTEM_RADAR_CONE_DESC|Ця передова спрямована радарна система концентрує низькочастотні радіохвилі у вузький промінь, підвищуючи точність виявлення та швидкість для сканування попереду. В основному використовується для розвідки та навігації, відмінно виявляє приховані структури або потенційні загрози попереду. Однак обмежене поле зору робить його непридатним для кругового спостереження.

SYSTEM_RADAR_CONE_SPECS|Виробник: Minding LF \nСкануючий промінь: низькочастотні радіохвилі \nТривалість циклу: 500 мс \nКут охоплення: 30 град \nВимірювання: дистанція

SYSTEM_RADAR_CONE_MANUAL|Сканує оточення корабля. \nПроникає крізь крижані та кам'яні утворення, відображає їх з низькою точністю. \nВиявляє об'єкти у вузькому конусі. \nВиявляє тільки кораблі та металеві руди.



SYSTEM_RADAR_OPA|Фазований РАДАР PR-500

SYSTEM_RADAR_OPA_DESC|Передова система фазованого радара, яка може електронно керувати променем у будь-якому напрямку, усуваючи необхідність у рухомих частинах. PR-500 пропонує майже миттєве сканування території та відмінну точність у відстеженні рухомих об'єктів, хоча має проблеми з виявленням малих швидкорухомих цілей на екстремальних відстанях.

SYSTEM_RADAR_OPA_SPECS|Виробник: Coherent Light \nСкануючий промінь: середньочастотні радіохвилі \nТривалість циклу: безперервний \nКут охоплення: 360 град \nВимірювання: дистанція

SYSTEM_RADAR_OPA_MANUAL|Сканує оточення корабля. \nПроникає крізь крижані та кам'яні утворення, відображає їх з низькою точністю. \nВиявляє тільки кораблі та металеві руди. \nВисока роздільна здатність. \nДуже висока швидкість сканування. \nСхильний до ефекту залишкового зображення. 



SYSTEM_RADAR_OPA_DOPPLER|Доплерівський фазований РАДАР PR-500D

SYSTEM_RADAR_OPA_DOPPLER_DESC|Спираючись на PR-500, цей покращений фазований радар включає виявлення доплерівського зсуву для кращого відстеження швидкостей об'єктів. Це вдосконалення значно покращує можливості виявлення загроз, хоча система залишається чутливою до перешкод та незначних ефектів залишкового зображення.

SYSTEM_RADAR_OPA_DOPPLER_SPECS|Виробник: Coherent Light \nСкануючий промінь: середньочастотні радіохвилі \nТривалість циклу: безперервний \nКут охоплення: 360 град \nВимірювання: дистанція, відносна швидкість

SYSTEM_RADAR_OPA_DOPPLER_MANUAL|Сканує оточення корабля. \nПроникає крізь крижані та кам'яні утворення, відображає їх з низькою точністю. \nВідображає кольором відносну швидкість виявлених об'єктів. \nВиявляє тільки кораблі та металеві руди. \nВисока роздільна здатність. \nДуже висока швидкість сканування. \nСхильний до ефекту залишкового зображення.



SYSTEM_RADAR_HYBRID|Гібридна система РАДАР-ЛІДАР RLS-900

SYSTEM_RADAR_HYBRID_DESC|A cutting-edge hybrid system that combines high-resolution LIDAR with medium-frequency radar for exceptional performance in both short and long-range detection. The RLS-900 uses LIDAR for precise close-range scans and radar for broader area coverage, making it ideal for scientific missions and exploration. The system provides detailed measurements of distance and object shapes but lacks velocity tracking, limiting its ability to assess moving targets in real-time.

SYSTEM_RADAR_HYBRID_SPECS|Виробник: Runasimi \nСкануючий промінь: інфрачервоне світло, середньочастотні радіохвилі \nТривалість циклу: 2000 мс \nКут охоплення: 360 град \nВимірювання: дистанція

SYSTEM_RADAR_HYBRID_MANUAL|Сканує оточення корабля. \nВиявляє всі видимі об'єкти. \nПроникає крізь крижані та кам'яні утворення. \nВисока роздільна здатність. \nПовільна швидкість сканування.
